央视频道,#genre#
浙江卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227438/index.m3u8
四川卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227444/index.m3u8
山东卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227442/index.m3u8
湖南卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227425/index.m3u8
东方卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227427/index.m3u8
深圳卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227428/index.m3u8
广东卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227415/index.m3u8
CCTV4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227426/index.m3u8
CCTV4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227357/index.m3u8?fmt=ts2hls
CCTV4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227382/index.m3u8
CCTV4K,http://39.135.168.2/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227426/1.m3u8?icpid=88888888&from=1&hms_devid=18113&vqe=3
北京卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227411/index.m3u8
北京卫视4K,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221226677/index.m3u8
北京卫视4K,http://39.135.168.36/wh7f454c46tw3873319710_-908059622/iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227122/index.m3u8?fmt=ts2hls&icpid=88888888&RTS=1742893012&from=1&hms_devid=18458&vqe=3
河南卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226526/1.m3u8
河南卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226526/index.m3u8
多彩文体4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226704/1.m3u8
CCTV兵器科技,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227485/index.m3u8
CCTV风云足球,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227489/index.m3u8
CCTV第一剧场,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227498/index.m3u8
CCTV怀旧剧场,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227502/index.m3u8
CCTV风云剧场,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227500/index.m3u8
CCTV风云音乐,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227504/index.m3u8
CCTV央视台球,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227506/index.m3u8
CCTV高夫网球,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227508/index.m3u8
CCTV女性时尚,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227510/index.m3u8
CCTV世界地理,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227512/index.m3u8
CCTV文化精品,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227514/index.m3u8
CCTV卫生健康,http://iptv.cdn.ha.chinamobile.com:80/PLTV/88888888/224/3221227516/index.m3u8


戏曲频道,#ge333nre#
豫剧频道,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227000/1.m3u8?fmt=ts2hls&icpid=
豫剧频道,http://vod.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227000/10000100000000060000000008223511_0.smil/index.m3u8?fmt=ts2hls&servicetype=1
移动戏曲,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226436/1.m3u8
河南戏曲,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226438/1.m3u8
睛彩中原,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226445/index.m3u8
移动戏曲,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226436/index.m3u8
河南戏曲,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226438/index.m3u8
河南卫视4K,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226526/1.m3u8
河南移动电视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226871/index.m3u8
CCTV戏曲,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226546/1.m3u8

卫视频道,#genre#
浙江卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227466/index.m3u8
浙江卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226682/1.m3u8
北京卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227458/index.m3u8
北京卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226519/1.m3u8
东方卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226681/1.m3u8
广东卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226525/1.m3u8
湖南卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226659/index.m3u8
天津卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226621/1.m3u8
山东卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226564/1.m3u8
安徽卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226578/1.m3u8
深圳卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226700/1.m3u8
江苏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227468/index.m3u8
江苏卫视,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221226722/1.m3u8
